gene	p.value	FDR	summary.logFC	logFC.pre.ciliated	logFC.ciliated	logFC.secretory.mid	logFC.secretory.early	logFC.luminal.late	logFC.transcriptionally.active	logFC.luminal.early	logFC.MUC5B.	logFC.KRT5.	logFC.remodeling	logFC.cycling	logFC.hormone.responsive.early	logFC.hormone.responsive.late
ESPN	0.99999999802972	1	-0.0606409835885878	NA	-0.0606409835885878	-0.00079326935577195	-0.0878412828434875	-0.0208066512965388	-0.00277626869901117	-0.0803440231321998	0	NA	0.00413574659904605	-0.0307978217605275	-0.0212451843831604	0
SPSB1	0.999999998031278	1	-0.12243478510051	NA	0.0200472875692765	-0.0699222283203384	-0.12243478510051	-0.107567816208306	0.110792670654014	-0.146095850871331	-0.269074782124114	NA	0.064012051683154	-0.0624290983037126	0.00105172578023709	-0.062396196916661
TNFAIP6	0.999999998035428	1	-0.0586383915543546	NA	0.0100610388019937	-0.0586383915543546	0.0122277668768922	-0.0912342110758584	-0.0378567468032725	0.013743770682192	0	NA	-0.0906934320916997	0	0.013396203455806	-0.00433184716609121
ZNF432	0.999999998053659	1	-0.0279410995646563	NA	-0.0380458919661761	-0.0279410995646563	-0.00185910654468037	0.0191689220441158	-0.0448984176999305	0.0218496459947672	0	NA	-0.0780371334120683	0	0.0155733163030632	-0.005146205447139
SEMA3C	0.999999998061838	1	-0.0217719293171801	NA	-0.0213027263617802	-0.0217719293171801	-0.0360005202049288	-0.0584920192989815	-0.0352429498623551	-0.0843160494012094	-0.252259029964894	NA	-0.0669355266100867	-0.135192652885263	-0.104875894128916	-0.0167413735447581
BTG1	0.999999998090053	1	-0.179586844499566	NA	-0.063118623379573	-0.179586844499566	-0.323020767795351	-0.374090781356406	0.0618918817344302	-0.265316861667238	0.00302055576453836	NA	-0.012232409612412	-0.254934115615206	-0.301848770770045	-0.637859151932495
HIBCH	0.999999998090444	1	-0.120428628807733	NA	-0.120428628807733	-0.0316729595600781	0.0109632059529923	-0.0595492907236073	-0.0633754577477143	0.04752412413385	0	NA	-0.0235337986305036	-0.113271801676856	-0.127700866668878	-0.0929525974355399
FAM53B	0.999999998095439	1	-0.053106427771088	NA	-0.053106427771088	-0.00338036877426287	-0.0151849640884279	-0.0196913645497175	0.00237719506916272	0.00263390302153545	-0.269074782124114	NA	-0.0347678539624278	0	-0.0159640070362125	-0.00725028667482895
ZNF92	0.999999998098518	1	-0.0242166535761086	NA	-0.00121917755554357	-0.0242166535761086	-0.0185630930131112	-0.0284042125503555	-0.0173239745712204	-0.116703883613451	0	NA	0.0055542118052883	0	-0.0235527613697745	-0.0359785439294984
NEO1	0.999999998100089	1	-0.0393868553028897	NA	-0.0222415110358492	-0.0393868553028897	-0.0364394456186335	-0.0259454929497919	-0.0313029120076263	0.0411760367013756	0	NA	-0.067722943831737	-0.0553997509121006	-0.0144880213000339	-0.107551679129599
SOX6	0.999999998103372	1	-0.0329515606858631	NA	-0.068662561363407	-0.0329515606858631	-0.0475431182008459	-0.0745691567565012	-0.0443325119829234	-0.0655032170646516	0	NA	-0.0426182892825788	-0.115601808831901	-0.112924246617566	-0.0776777304144221
